français,english,yaayuwee_gya_doforo
Comment apprend-on aux enfants les animaux dangereux ?,How do you teach children about dangerous animals?,Wa úsí ŋga saɗi ą obêm héé ge ?
Quelle est l'histoire derrière les montagnes de Meiganga ?,What is the story behind the mountains of Meiganga?,Nyɛrɛmɔ kaya ganga (Meiganga) nɛ gé ?
Comment gardez-vous l'eau propre au village ?,How do you keep water clean in the village?,Ɛnɛ hákali yi saayé héé gé ?
Quelles danses danse-t-on pendant les enterrements ?,What dances are danced during funerals?,Nɛ gé yoya ge ą wa yɔɔ wesé guna fio gé ?
Comment trouve-t-on le miel en forêt ?,How do you find honey in the forest?,Kɔ kɔmbɔ wa bi gɔrɔ héé gé ?
Que signifie être un bon voisin en Yaayuwee ?,What does it mean to be a good neighbor in Yaayuwee?,De ŋma-mɛ úsí nɛ gé nɛ nú Yaayuwee gé ?
Comment sait-on si une plante est bonne pour médicament ?,How do you know if a plant is good for medicine?,Wa dé héé gé mɛ iŋ nɛnɛ te ɔ deá wen nyina gé ?
Quelles histoires raconte-t-on sur les esprits de la forêt ?,What stories are told about forest spirits?,Nyɛrɛmɔ kó sɔ kɔmbɔ tó nɛ gé ?
Comment les familles travaillent ensemble pour construire une maison ?,How do families work together to build a house?,Ó pɛr-nam moi héé gé wen de tom tuá?
Quelle est la valeur la plus importante dans la culture Yaayuwee ?,What is the most important value in Yaayuwee culture?,Wíí-séé mɔ kó Yaayuwee nɛ gé ?
Comment préparez-vous les semences pour la prochaine saison ?,How do you prepare seeds for the next season?,Ɛnɛ ɗafi kpàrmɔ wen mbé pɛ héé gé ?
Quelles chansons chante-t-on en travaillant aux champs ?,What songs do you sing while working in the fields?,Nɛ gé gima ge ą wa bii fara detom fɔ gé ?
Comment les anciens prédisent la météo ?,How do elders predict the weather?,Ó gasa-wí zɔ́k ndaá zân héé gé ?
Comment accueille-t-on un visiteur à Doforo ?,How do you welcome a visitor in Doforo?,Sɛnɛ Doforo wa kpɛk gɛnɛ héé gé ?
Que faites-vous pour protéger les enfants des maladies ?,What do you do to protect children from diseases?,Mɛ hakili obêm wen zɛɛ ɛnɛ de héé gé ?
Quelle est l'histoire du village Doforo ?,What is the history of Doforo village?,Nyɛrɛmɔ kó saayé Doforo tɔ nɛ gé ?
Comment fabrique-t-on l'huile traditionnelle de palme ?,How do you make traditional palm oil?,Wa dée nɔ bàŋà héé gé ?
Que signifie la langue Yaayuwee pour toi ?,What does the Yaayuwee language mean to you?,Nú Yaayuwee nɛ gé wen mɛ gé ?
Comment expliquerais-tu Doforo à quelqu'un qui n'a jamais visité ?,How would you explain Doforo to someone who has never visited?,Héé gé ą mɛ tɛ tɔ wen kó Doforo a ŋma bíí nɛ mɛɗi hɔá Doforo ná?
